<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	06:15:00	2327.18	2327.21	2325.37	2325.61	712	0	4
2024.06.03	06:20:00	2325.64	2326.06	2324.85	2325.22	900	0	4
2024.06.03	06:25:00	2325.23	2325.77	2323.63	2323.87	903	0	4
2024.06.03	06:30:00	2323.78	2324.35	2323.30	2324.23	629	0	6
2024.06.03	06:35:00	2324.15	2324.67	2323.54	2323.81	449	0	4
2024.06.03	06:40:00	2323.81	2324.08	2322.36	2322.95	379	0	4
2024.06.03	06:45:00	2322.96	2323.34	2322.21	2322.39	369	0	4
2024.06.03	06:50:00	2322.44	2322.61	2320.85	2321.44	733	0	4
2024.06.03	06:55:00	2321.40	2322.22	2321.30	2321.33	450	0	4
2024.06.03	07:00:00	2321.46	2321.61	2320.24	2320.99	593	0	4
2024.06.03	07:05:00	2321.06	2322.35	2320.70	2321.20	368	0	4
2024.06.03	07:10:00	2321.21	2322.49	2320.61	2322.09	221	0	4
2024.06.03	07:15:00	2322.10	2322.29	2321.20	2321.51	158	0	7
2024.06.03	07:20:00	2321.42	2321.92	2320.91	2321.01	156	0	4
2024.06.03	07:25:00	2320.91	2321.90	2320.81	2321.29	161	0	4
2024.06.03	07:30:00	2321.29	2321.83	2320.86	2321.22	128	0	7
2024.06.03	07:35:00	2321.21	2321.72	2320.68	2321.47	176	0	4
2024.06.03	07:40:00	2321.49	2321.51	2320.39	2320.60	132	0	8
2024.06.03	07:45:00	2320.50	2321.20	2320.08	2321.05	197	0	4
2024.06.03	07:50:00	2321.01	2321.77	2321.00	2321.43	231	0	4
2024.06.03	07:55:00	2321.44	2321.44	2320.57	2321.33	235	0	5
2024.06.03	08:00:00	2321.34	2322.33	2320.72	2321.94	455	0	4
2024.06.03	08:05:00	2321.93	2322.23	2320.91	2321.68	283	0	4
2024.06.03	08:10:00	2321.58	2323.09	2321.57	2322.56	247	0	4
2024.06.03	08:15:00	2322.57	2323.13	2322.16	2322.69	197	0	4
2024.06.03	08:20:00	2322.68	2323.84	2322.66	2323.22	403	0	4
2024.06.03	08:25:00	2323.24	2323.38	2322.64	2322.88	271	0	4
2024.06.03	08:30:00	2322.81	2323.56	2321.20	2322.43	827	0	4
2024.06.03	08:35:00	2322.43	2323.51	2320.52	2320.61	612	0	4
2024.06.03	08:40:00	2320.61	2320.86	2315.33	2315.41	1239	0	4
2024.06.03	08:45:00	2315.44	2317.74	2315.30	2317.28	1047	0	4
2024.06.03	08:50:00	2317.29	2319.09	2316.99	2318.95	719	0	4
2024.06.03	08:55:00	2318.95	2321.03	2318.71	2320.17	782	0	4
2024.06.03	09:00:00	2320.17	2320.96	2318.27	2318.91	638	0	4
2024.06.03	09:05:00	2318.97	2320.19	2317.48	2318.25	757	0	4
2024.06.03	09:10:00	2318.26	2318.71	2316.08	2318.58	785	0	4
2024.06.03	09:15:00	2318.60	2319.16	2316.20	2316.48	785	0	4
2024.06.03	09:20:00	2316.58	2317.18	2314.80	2316.04	892	0	4
2024.06.03	09:25:00	2316.04	2316.15	2314.80	2315.59	808	0	4
2024.06.03	09:30:00	2315.57	2316.79	2314.74	2314.93	734	0	4
2024.06.03	09:35:00	2314.91	2317.65	2314.88	2317.22	832	0	4
2024.06.03	09:40:00	2317.23	2319.09	2317.23	2318.56	691	0	4
2024.06.03	09:45:00	2318.57	2320.05	2318.17	2319.75	654	0	4
2024.06.03	09:50:00	2319.78	2319.96	2317.76	2318.81	855	0	4
2024.06.03	09:55:00	2318.89	2322.86	2318.87	2322.45	830	0	4
2024.06.03	10:00:00	2322.35	2324.89	2322.27	2324.02	776	0	4
2024.06.03	10:05:00	2324.04	2326.16	2323.61	2325.59	638	0	4
2024.06.03	10:10:00	2325.58	2325.77	2324.54	2325.52	677	0	4
2024.06.03	10:15:00	2325.53	2328.54	2324.75	2328.53	714	0	4
2024.06.03	10:20:00	2328.54	2328.84	2326.07	2326.17	607	0	4
2024.06.03	10:25:00	2326.09	2326.76	2324.82	2324.94	458	0	4
2024.06.03	10:30:00	2324.87	2325.24	2324.04	2324.06	323	0	4
2024.06.03	10:35:00	2324.05	2324.36	2323.20	2323.73	473	0	4
2024.06.03	10:40:00	2323.74	2325.25	2323.70	2324.48	567	0	4
2024.06.03	10:45:00	2324.49	2325.01	2323.63	2324.43	465	0	4
2024.06.03	10:50:00	2324.44	2324.52	2323.31	2323.91	307	0	4
2024.06.03	10:55:00	2323.91	2326.62	2323.70	2326.05	488	0	4
2024.06.03	11:00:00	2325.97	2326.27	2324.84	2326.16	550	0	4
2024.06.03	11:05:00	2326.17	2327.31	2325.17	2326.74	553	0	4
2024.06.03	11:10:00	2326.74	2327.62	2325.64	2327.36	594	0	4
2024.06.03	11:15:00	2327.46	2327.46	2325.77	2326.06	443	0	4
2024.06.03	11:20:00	2325.97	2327.37	2325.65	2327.24	409	0	4
2024.06.03	11:25:00	2327.21	2328.06	2326.85	2327.74	340	0	4
2024.06.03	11:30:00	2327.74	2328.57	2326.33	2327.25	531	0	4
2024.06.03	11:35:00	2327.43	2327.56	2326.48	2326.48	647	0	4
2024.06.03	11:40:00	2326.53	2326.70	2324.81	2325.91	541	0	4
2024.06.03	11:45:00	2325.90	2326.19	2325.30	2325.84	403	0	4
2024.06.03	11:50:00	2325.88	2326.30	2325.45	2325.96	394	0	4
2024.06.03	11:55:00	2325.90	2326.17	2325.18	2325.55	381	0	4
2024.06.03	12:00:00	2325.56	2326.41	2325.34	2326.41	421	0	4
2024.06.03	12:05:00	2326.38	2327.85	2326.21	2327.13	324	0	4
2024.06.03	12:10:00	2327.13	2327.46	2326.40	2327.07	362	0	4
2024.06.03	12:15:00	2327.05	2327.14	2325.41	2326.33	272	0	4
2024.06.03	12:20:00	2326.33	2326.96	2325.81	2325.87	568	0	4
2024.06.03	12:25:00	2325.87	2325.87	2324.46	2324.56	400	0	4
2024.06.03	12:30:00	2324.54	2326.24	2324.36	2325.57	552	0	4
2024.06.03	12:35:00	2325.58	2325.92	2324.94	2325.60	373	0	4
2024.06.03	12:40:00	2325.60	2326.82	2325.49	2326.54	463	0	4
2024.06.03	12:45:00	2326.55	2326.66	2325.83	2326.66	287	0	4
2024.06.03	12:50:00	2326.65	2327.60	2326.44	2327.47	339	0	4
2024.06.03	12:55:00	2327.48	2328.80	2327.28	2327.79	419	0	4
2024.06.03	13:00:00	2327.78	2327.90	2326.30	2326.59	395	0	4
2024.06.03	13:05:00	2326.60	2327.40	2326.27	2327.31	388	0	4
2024.06.03	13:10:00	2327.31	2328.19	2326.96	2327.29	582	0	4
2024.06.03	13:15:00	2327.29	2329.29	2327.22	2327.77	535	0	4
2024.06.03	13:20:00	2327.79	2328.57	2326.74	2328.46	542	0	4
